Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs,dipAdvantage
0,4.0,4.0,0.0,-0.000173,1.0,29.0,0.0,49.82687,0.1835178,0.16620479999999999,0.0,0.0,0.0,49.82687,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,30.0,0.0,-1.0,-1.0,49.82687,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,1.0,9.6,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
1,4.0,4.0,0.0,-0.000173,1.0,28.0,0.0,49.8822716,0.1281162,0.11080319999999999,0.0,0.0,0.0,49.8822716,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,29.0,0.0,-1.0,-1.0,49.8822716,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,1.0,6.4,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
2,4.0,4.0,0.0,-0.000173,1.0,27.2,0.0,49.882271599999996,0.12811619999999999,0.11080320000000002,0.0,0.0,0.0,49.882271599999996,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,28.2,0.0,-1.0,-1.0,49.882271599999996,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,1.0,6.4,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
3,4.0,4.0,0.0,-0.000173,1.0,26.4,0.0,49.823407399999994,0.1869804,0.1696674,0.0,0.0,0.0,49.823407399999994,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,27.4,0.0,-1.0,-1.0,49.823407399999994,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,1.0,9.8,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
4,4.0,4.0,0.0,-0.000173,1.0,26.0,0.0,49.8476456,0.1627422,0.1454292,0.0,0.0,0.0,49.8476456,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,27.0,0.0,-1.0,-1.0,49.8476456,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,1.0,8.4,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
5,4.0,4.0,0.0,-0.000173,1.0,26.0,0.0,49.8580334,0.15235440000000003,0.1350414,0.0,0.0,0.0,49.8580334,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,27.0,0.0,-1.0,-1.0,49.8580334,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,1.0,7.8,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
6,4.0,4.0,0.0,-0.000173,1.0,26.0,0.0,49.8545708,0.15581699999999998,0.13850400000000002,0.0,0.0,0.0,49.8545708,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,27.0,0.0,-1.0,-1.0,49.8545708,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
7,4.0,4.0,0.0,-0.000173,92.6,26.0,0.0034625999999999997,49.8337952,0.17312999999999998,0.1523544,0.006925199999999999,0.0,0.0,49.8337952,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,118.6,0.0034625999999999997,-1.0,-1.0,49.8337952,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,0.8,8.8,0.4,0.2,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
8,4.0,4.0,0.0,-0.000173,91.0,26.0,0.0034625999999999997,49.35249319999999,0.654432,0.1419666,0.010387799999999999,0.0,0.0,49.35249319999999,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,117.0,0.0034625999999999997,-1.0,-1.0,49.35249319999999,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,29.0,8.2,0.6,0.2,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
9,4.0,4.0,0.0,-0.0001738,365.4,26.0,0.013850399999999999,49.3040168,0.6925205999999999,0.1281162,0.04501379999999999,0.0,0.0,49.3040168,0.0,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.8,391.4,0.013850399999999999,-1.0,-1.0,49.3040168,0.0,76.0,1.0,0.0,0.0,0.0,0.8,0.0,500.0,24.0,6.0,26.0,7.5,1.875,0.000173,0.005194,-1.0,-1.0,0.0,195.0,-1.0,4.0,1.0,30.0,30.0,7.4,2.6,0.8,0.0,0.0,0.0,NaN,0.0,0.0,false,false,false,false,0.0,false,0.0,5.0,10.0,0.0,0.0,0.38999999999999996
