Time,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,DIP_BURST_PCT,H,virion_clearance_rate,dip_clearance_rate,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected
0,-0.000000,50,0,0.000000,99.996142,0.003858,0.000000,0.000000,0.000000,0,99.996142,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000000,-1.0,99.996142,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,5,0,0
1,-0.000000,50,0,0.000000,99.994599,0.005401,0.000000,0.000000,0.000000,0,99.994599,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000000,-1.0,99.994599,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,7,0,0
2,-0.000000,50,0,0.000000,99.993827,0.006173,0.000000,0.000000,0.000000,0,99.993827,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000000,-1.0,99.993827,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,8,0,0
3,-0.000000,50,0,0.000000,99.993056,0.006944,0.000000,0.000000,0.000000,0,99.993056,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000000,-1.0,99.993056,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,9,0,0
4,-0.000000,50,0,0.000000,99.992284,0.007716,0.000000,0.000000,0.000000,0,99.992284,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000000,-1.0,99.992284,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,10,0,0
5,-0.000000,50,0,0.000000,99.991512,0.008488,0.000000,0.000000,0.000000,0,99.991512,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000000,-1.0,99.991512,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,11,0,0
6,-0.000000,50,0,0.000000,99.990741,0.009259,0.000000,0.000000,0.000000,0,99.990741,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000000,-1.0,99.990741,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,12,0,0
7,0.000000,50,0,0.000000,99.989969,0.010031,0.000000,0.000000,0.000000,0,99.989969,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000000,-1.0,99.989969,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,13,0,0
8,0.000000,50,0,0.000000,99.989969,0.010031,0.000000,0.000000,0.000000,0,99.989969,0.000000,-1.0,-1.0,0.025237,50,0.000000,0.000031,-1.0,99.989969,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,13,0,0
9,0.000000,50,0,0.000000,99.986883,0.010802,0.000000,0.000000,0.002315,0,99.986883,0.002315,-1.0,-1.0,0.025237,50,0.000000,0.000054,-1.0,99.986883,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,0.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,14,0,0
10,0.000000,146,0,0.000772,99.985340,0.010031,0.000000,0.000000,0.003858,0,99.985340,0.003858,-1.0,-1.0,0.025237,146,0.000772,0.000062,-1.0,99.985340,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-30.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,13,0,0
11,0.000000,146,0,0.000772,99.980710,0.013889,0.000000,0.000000,0.004630,0,99.980710,0.004630,-1.0,-1.0,0.025237,146,0.000772,0.000069,-1.0,99.980710,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-44.666667,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,18,0,0
12,0.000000,242,0,0.001543,99.979938,0.013889,0.000000,0.000000,0.004630,0,99.979938,0.004630,-1.0,-1.0,0.025237,242,0.001543,0.000069,-1.0,99.979938,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-59.666667,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,18,0,0
13,0.000000,626,0,0.004630,99.976080,0.014660,0.000000,0.000000,0.004630,0,99.976080,0.004630,-1.0,-1.0,0.025237,626,0.004630,0.000069,-1.0,99.976080,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-74.666667,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,19,0,0
14,0.000000,914,0,0.006944,99.965278,0.022377,0.000000,0.000000,0.005401,0,99.965278,0.005401,-1.0,-1.0,0.025237,914,0.006944,0.000069,-1.0,99.965278,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-53.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,29,0,0
15,0.000000,1010,0,0.007716,99.949074,0.037809,0.000000,0.000000,0.005401,0,99.949074,0.005401,-1.0,-1.0,0.025237,1010,0.007716,0.000069,-1.0,99.949074,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-62.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,49,0,0
16,0.000000,1010,0,0.007716,99.936728,0.049383,0.000000,0.000000,0.006173,0,99.936728,0.006173,-1.0,-1.0,0.025237,1010,0.007716,0.000069,-1.0,99.936728,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-58.000000,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,64,0,0
17,0.000000,1010,0,0.007716,99.915123,0.069444,0.000000,0.000000,0.007716,0,99.915123,0.007716,-1.0,-1.0,0.025237,1010,0.007716,0.000069,-1.0,99.915123,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-63.166667,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,90,0,0
18,0.000000,1202,0,0.009259,99.904321,0.076389,0.000000,0.000000,0.010031,0,99.904321,0.010031,-1.0,-1.0,0.025237,1202,0.009259,0.000069,-1.0,99.904321,0,360,1,5,1,1.500000,0.025237,120.000000,100,24.000000,6.000000,145,12.000000,3.000000,0.000386,0.000000,-66.666667,-1.0,1.000000,0,-1.0,-1.0,-1.0,3,0,50,99,0,0
