Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs
0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,0.026000000000000006,1.0,0.0,-1.0,-1.0,100.0,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
1,0.0,0.0,3.0,0.0,1.0,0.0,0.0,99.99733333333333,0.0026666666666666666,0.0,0.0,0.0,0.0,99.99733333333333,0.0,,,0.026000000000000006,1.0,0.0,0.0,-1.0,99.99733333333333,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
2,0.0,0.0,3.0,2.1133333333333333e-05,1.0,0.0,0.0,99.99600000000001,0.004,0.0,0.0,0.0,0.0,99.99600000000001,0.0,,,0.026000000000000006,1.0,0.0,0.0,-1.0,99.99600000000001,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
3,0.0,0.0,3.0,4.8566666666666664e-05,1.0,0.0,0.0,99.99466666666667,0.005333333333333333,0.0,0.0,0.0,0.0,99.99466666666667,0.0,,,0.026000000000000006,1.0,0.0,0.0529134,-1.0,99.99466666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
4,0.0,0.0,3.0,8.09e-05,1.0,0.0,0.0,99.992,0.008,0.0,0.0,0.0,0.0,99.992,0.0,,,0.026000000000000006,1.0,0.0,0.12138423333333333,-1.0,99.992,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
5,0.0,0.0,3.0,0.00012773333333333334,1.0,0.0,0.0,99.992,0.008,0.0,0.0,0.0,0.0,99.992,0.0,,,0.026000000000000006,1.0,0.0,0.202208,-1.0,99.992,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
6,0.0,0.0,3.0,0.00016496666666666665,1.0,0.0,0.0,99.99066666666667,0.009333333333333334,0.0,0.0,0.0,0.0,99.99066666666667,0.0,,,0.026000000000000006,1.0,0.0,0.31929693333333337,-1.0,99.99066666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
7,0.0,0.0,3.0,0.00020503333333333332,1.0,0.0,0.0,99.99066666666667,0.009333333333333334,0.0,0.0,0.0,0.0,99.99066666666667,0.0,,,0.026000000000000006,1.0,0.0,0.4122675666666667,-1.0,99.99066666666667,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
8,0.0,0.0,3.0,0.00023693333333333336,1.0,0.0,0.0,99.98933333333335,0.009333333333333334,0.0,0.0,0.0013333333333333333,0.0,99.98933333333335,0.0013333333333333333,,,0.026000000000000006,1.0,0.0,0.5125447,-1.0,99.98933333333335,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
9,0.0,0.0,3.0,0.0002622,1.0,0.0,0.0,99.98800000000001,0.010666666666666666,0.0,0.0,0.0013333333333333333,0.0,99.98800000000001,0.0013333333333333333,,,0.026000000000000006,1.0,0.0,0.5921665333333334,-1.0,99.98800000000001,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
10,0.0,0.0,3.0,0.0002928333333333333,1.0,0.0,0.0,99.98666666666668,0.012,0.0,0.0,0.0013333333333333333,0.0,99.98666666666668,0.0013333333333333333,,,0.026000000000000006,1.0,0.0,0.6553876333333333,-1.0,99.98666666666668,0.0,50.0,1.0,5.0,1.0,1.0,0.026000000000000006,95.0,50.0,24.0,6.0,502.0,12.0,3.0,0.0003999999999999999,0.0,-1.0,-1.0,1.0,720.0,-1.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False,False,False,False,0.0,False,1.0,5.0,10.0,0.0,0.0
